assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,0,24,True,True,,,1,1.0,1,154561,,,0,0,0,0,0.0,586,68,0,0.0,,,0,1,4.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,David,6.0,60,6,0,0.0,0,False,1.2,231,19,1,False,11.8,144,19,,90,,,60,60,1,p154561,0,0,,0,,154561.jpg,6.0,60,6,False,44,,9.4,"[{'offset': 0, 'projected_percent': '9.4', 'likelihood': 1}, {'offset': 1, 'projected_percent': '10.3', 'likelihood': 1}, {'offset': 2, 'projected_percent': '11.0', 'likelihood': 1}]",8,0,200.0,False,1,1.0,,[],Raya Martín,38.3,6,1,False,,1,1.0,a,0,1,3,2024-07-04,0.0,577,68,6,94421,94421,70963,70963,1.0,1.0,Raya,0
0,1994-10-03,0,0,True,True,,,0,0.0,0,109745,,,0,0,0,0,0.0,443,52,0,0.0,,,0,1,2.6,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kepa,0.0,447,63,0,0.0,0,False,0.0,452,63,2,False,0.0,436,63,,0,,,50,236,9,p109745,0,0,,0,,109745.jpg,0.0,447,63,False,-4,,-61.0,"[{'offset': 0, 'projected_percent': '-61.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-72.4', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-79.7', 'likelihood': -3}]",0,0,200.0,False,0,0.0,,[],Arrizabalaga Revuelta,0.1,441,49,False,,0,0.0,a,0,1,3,2025-07-01,0.0,384,52,0,298,298,1231,1231,0.0,0.0,Arrizabalaga,0
0,2000-03-02,0,0,True,True,,,0,0.0,0,437495,,,0,0,0,0,0.0,484,59,0,0.0,,,0,1,2.6,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illan,0.0,485,66,0,0.0,0,False,0.0,490,66,3,False,0.0,474,66,,0,,,50,301,16,p437495,0,0,,0,,437495.jpg,0.0,485,66,False,0,,-56.6,"[{'offset': 0, 'projected_percent': '-56.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-56.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-56.6', 'likelihood': -3}]",0,0,73.0,False,0,0.0,,[],Meslier,0.0,527,59,False,,0,0.0,a,0,1,3,2026-07-09,0.0,437,59,0,95,95,443,443,0.0,0.0,Meslier,0
0,1997-12-19,0,21,True,True,,,1,1.0,4,226597,,,0,0,0,0,1.8,193,59,4,4.0,,,0,2,4.0,4.0,5,0.01,0.01,0.06,0.06,0.05,0.2,0.2,0.05,Gabriel,5.0,73,30,0,0.0,0,False,0.9,240,90,4,False,6.6,196,87,Gabriel Magalhães,90,,,80,8,1,p226597,0,0,,0,,226597.jpg,5.0,73,30,False,-455,,-6.6,"[{'offset': 0, 'projected_percent': '-6.6', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-10.2', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-12.5', 'likelihood': -1}]",2,0,30.0,False,0,0.0,,[],dos Santos Magalhães,29.2,8,2,False,,1,1.0,a,0,1,3,2020-09-01,1.0,194,66,5,53275,53275,107398,107398,0.6,0.6,Gabriel,1
0,2001-06-17,0,0,True,True,0.0,0.0,0,0.0,0,445122,,,0,0,0,0,0.0,606,205,0,0.0,,,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jurriën,0.0,602,203,0,0.0,0,False,0.0,606,205,5,False,0.0,604,205,Jurriën Timber,0,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,65,43,3,p445122,0,0,,0,,445122.jpg,0.0,602,203,False,-12,,-48.1,"[{'offset': 0, 'projected_percent': '-48.1', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-57.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-64.0', 'likelihood': -3}]",0,0,152.0,False,0,0.0,https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,[],Timber,0.1,419,149,False,,0,0.0,i,0,1,3,2023-07-14,0.0,604,205,0,375,375,2859,2859,0.0,0.0,J.Timber,0
0,2001-03-24,0,0,True,True,0.0,0.0,0,0.0,0,462424,,,0,0,0,0,0.0,592,204,0,0.0,,,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,William,0.0,588,202,0,0.0,0,False,0.0,592,204,6,False,0.0,588,204,,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,88,9,p462424,0,0,,0,,462424.jpg,0.0,588,202,False,-28,,-42.9,"[{'offset': 0, 'projected_percent': '-42.9', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-51.7', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-57.3', 'likelihood': -3}]",0,0,73.0,False,0,0.0,https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,[],Saliba,0.3,311,117,False,,0,0.0,i,0,1,3,2019-07-25,0.0,585,204,0,796,796,6380,6380,0.0,0.0,Saliba,0
0,2006-09-26,0,15,True,True,,,1,1.0,1,499169,,,0,0,0,0,22.9,54,35,7,7.0,,,0,3,2.0,2.0,3,0.11,0.11,0.17,0.17,0.06,0.2,0.2,0.06,Myles,3.0,100,43,0,0.0,0,False,4.1,101,52,7,False,11.0,155,54,,90,,,55,195,121,p499169,0,0,,0,,499169.jpg,3.0,100,43,False,5,,0.9,"[{'offset': 0, 'projected_percent': '0.9', 'likelihood': 1}, {'offset': 1, 'projected_percent': '1.0', 'likelihood': 1}, {'offset': 2, 'projected_percent': '1.1', 'likelihood': 1}]",5,0,241.0,False,0,0.0,,[],Lewis-Skelly,0.7,226,74,False,,1,1.0,a,1,1,3,2022-12-04,7.0,112,59,3,8642,8642,7960,7960,0.5,0.5,Lewis-Skelly,0
1,2002-05-19,0,31,True,True,,,1,1.12,4,466075,,,1,-1,1,-1,12.2,105,31,5,5.62,,,0,2,2.6,2.6,9,0.09,0.1,0.13,0.14,0.04,0.06,0.07,0.04,Riccardo,9.0,25,10,0,0.0,0,False,4.2,98,34,8,False,26.0,62,24,,80,,,56,112,11,p466075,0,0,,0,,466075.jpg,9.0,25,10,False,906,,3.3,"[{'offset': 0, 'projected_percent': '3.3', 'likelihood': 1}, {'offset': 1, 'projected_percent': '10.6', 'likelihood': 1}, {'offset': 2, 'projected_percent': '15.3', 'likelihood': 1}]",1,0,106.0,False,0,0.0,,[],Calafiori,41.6,5,1,False,,1,1.12,a,1,1,3,2024-07-29,4.0,137,45,9,284288,284288,35846,35846,1.6,1.6,Calafiori,0
0,2002-01-09,0,3,True,True,,,0,0.0,0,448104,,,-1,1,-1,1,0.5,252,91,0,0.0,,,0,2,2.4,2.4,1,0.0,0.0,0.0,0.0,0.0,0.15,1.5,0.0,Piero,1.0,243,93,0,0.0,0,False,0.1,290,102,9,False,0.4,273,102,,9,,,54,224,34,p448104,0,0,,0,,448104.jpg,1.0,243,93,False,-230,,-3.0,"[{'offset': 0, 'projected_percent': '-3.0', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-23.4', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-36.5', 'likelihood': -2}]",0,0,62.0,False,0,0.0,,[],Hincapié,1.5,159,65,False,,0,0.0,a,0,1,3,2026-07-01,0.0,509,190,1,3590,3590,36909,36909,0.2,0.2,Hincapie,0
1,1997-10-08,2,37,True,True,100.0,100.0,1,1.0,4,198869,,,0,0,0,0,26.8,38,11,5,5.0,,,0,2,2.5,2.5,11,0.21,0.21,0.39,0.39,0.18,0.2,0.2,0.18,Benjamin,11.0,10,5,0,0.0,0,False,7.3,41,11,10,False,33.2,42,15,,90,,2026-07-23T12:01:23.305229Z,55,132,14,p198869,0,0,,0,,198869.jpg,11.0,10,5,False,750,,44.3,"[{'offset': 0, 'projected_percent': '44.3', 'likelihood': 3}, {'offset': 1, 'projected_percent': '60.8', 'likelihood': 3}, {'offset': 2, 'projected_percent': '71.3', 'likelihood': 3}]",3,0,241.0,False,0,0.0,,[],White,6.6,60,24,False,,1,1.0,a,1,1,3,2021-07-30,13.0,76,21,11,125495,125495,21048,21048,2.0,2.0,White,0
